Distribució de la superfície agrícola utilitzada (SAU)
Municipis. 2020
Font: Idescat, a partir de les dades del Cens agrari de l'INE.
(..) Dada confidencial, amb baixa fiabilitat o no disponible.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censag&n=16059&geo=mun
Codi;Nom;SAU  explot.;SAU  ha;Terres llaurades  total  explot.;Terres llaurades  total  ha;Terres llaurades  conreus en hivernacle o amb protecció alta accessible  explot.;Terres llaurades  conreus en hivernacle o amb protecció alta accessible  ha;Terres llaurades  conreus herbacis a l'aire lliure i/o amb protecció baixa  explot.;Terres llaurades  conreus herbacis a l'aire lliure i/o amb protecció baixa  ha;Terres llaurades  guarets (inclou terres sembrades per a adob en verd)  explot.;Terres llaurades  guarets (inclou terres sembrades per a adob en verd)  ha;Terres llaurades  conreus llenyosos permanents a l'aire lliure  explot.;Terres llaurades  conreus llenyosos permanents a l'aire lliure  ha;Terres llaurades  horts per a consum propi  explot.;Terres llaurades  horts per a consum propi  ha;Terres per a pastures permanents  explot.;Terres per a pastures permanents  ha
250019;Abella de la Conca;37;1373;36;684;0;0;31;393;15;24;24;266;5;0;15;689
080018;Abrera;13;205;13;196;1;0;9;139;2;2;10;55;3;0;1;9
250024;Àger;86;3965;85;2957;0;0;73;2362;58;256;69;339;19;0;12;1008
250030;Agramunt;270;6351;269;6348;0;0;261;5658;121;468;88;221;33;1;4;3
080023;Aguilar de Segarra;38;1197;38;1189;0;0;37;1126;20;36;13;26;18;0;1;8
170010;Agullana;19;398;19;284;0;0;13;179;11;32;16;73;3;0;9;114
080142;Aiguafreda;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
430017;Aiguamúrcia;127;2598;126;2562;3;6;31;300;82;173;123;2083;20;1;4;36
170025;Aiguaviva;17;513;16;508;0;0;16;490;5;8;3;11;5;0;3;5
250387;Aitona;210;5370;210;5363;0;0;31;591;101;584;204;4188;19;0;6;7
250045;Alamús, els;91;2127;91;2127;1;0;83;1082;14;28;38;1018;13;0;1;0
250058;Alàs i Cerc;17;703;16;143;0;0;14;139;1;0;5;4;3;0;16;560
250061;Albagés, l';80;1364;80;1363;0;0;9;19;27;23;79;1321;1;0;1;1
170031;Albanyà;9;483;5;166;0;0;5;164;1;2;1;0;2;0;7;317
250077;Albatàrrec;54;810;53;807;0;0;30;84;33;42;49;680;8;0;3;3
250083;Albesa;201;3043;200;3027;1;0;149;1695;77;98;145;1233;27;1;2;17
250096;Albi, l';124;1687;124;1682;0;0;35;341;68;120;123;1221;22;1;3;5
430022;Albinyana;63;572;62;569;0;0;23;131;38;18;61;419;11;0;2;3
430038;Albiol, l';21;306;19;154;0;0;5;5;7;6;19;143;2;0;2;151
170046;Albons;34;784;33;783;3;1;27;765;6;6;14;11;5;0;1;1
430043;Alcanar;290;1206;289;1114;10;7;29;34;28;20;289;1053;25;1;4;92
250100;Alcanó;56;1328;56;1328;0;0;30;306;40;126;53;896;5;0;1;0
250117;Alcarràs;451;9631;427;9368;3;1;288;5322;123;210;314;3834;57;1;35;264
250122;Alcoletge;63;731;63;731;0;0;48;468;18;34;31;229;3;0;0;0
430056;Alcover;252;1662;251;1352;1;0;39;26;54;37;246;1288;42;1;2;311
439044;Aldea, l';196;1696;195;1668;5;35;70;762;21;90;165;781;4;0;1;27
430069;Aldover;207;1020;206;971;1;0;15;15;18;18;205;938;16;0;2;48
430075;Aleixar, l';185;1033;185;1032;0;0;23;17;21;12;184;1002;28;1;1;0
080039;Alella;23;202;23;202;4;3;6;14;3;5;21;180;5;0;1;0
430081;Alfara de Carles;32;1100;32;289;0;0;8;14;7;6;32;268;7;0;5;812
250138;Alfarràs;43;501;43;501;1;0;26;247;21;48;39;205;7;0;0;0
250143;Alfés;76;2589;75;2576;1;0;53;1437;51;355;62;783;7;0;3;13
430094;Alforja;146;540;145;522;1;0;17;10;11;7;145;504;29;1;2;18
250156;Algerri;117;3788;117;3772;0;0;105;3013;62;173;94;585;21;0;4;16
250169;Alguaire;229;4330;220;4230;0;0;175;3337;77;136;130;756;29;1;12;100
250175;Alins;39;4246;24;152;0;0;15;118;3;7;7;27;6;0;38;4093
430108;Alió;41;530;41;530;0;0;16;87;22;49;41;394;9;0;1;0
250194;Almacelles;208;3953;201;3873;3;6;170;3611;53;76;68;180;30;1;7;80
250208;Almatret;86;2048;86;2047;0;0;22;498;46;126;85;1424;2;0;2;1
250215;Almenar;358;5450;352;5401;0;0;306;4194;130;202;194;1003;59;2;8;49
430115;Almoster;25;71;25;71;0;0;6;1;4;1;25;69;3;0;0;0
250220;Alòs de Balaguer;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
170062;Alp;18;2699;16;289;0;0;16;287;1;1;1;1;8;0;17;2410
080044;Alpens;7;548;6;151;0;0;6;151;0;0;0;0;2;0;3;397
250236;Alpicat;60;711;60;710;0;0;19;275;22;53;56;381;6;0;1;1
250241;Alt Àneu;38;13580;28;192;0;0;28;174;1;14;1;4;6;0;38;13388
430120;Altafulla;15;123;14;98;1;1;5;11;4;7;13;79;2;0;2;26
170078;Amer;33;445;32;210;1;0;12;122;1;0;27;87;7;0;9;235
430136;Ametlla de Mar, l';367;2149;367;2139;2;5;32;98;30;27;365;2008;19;0;4;9
080057;Ametlla del Vallès, l';16;297;14;293;1;0;11;280;4;6;7;7;5;0;3;4
439060;Ampolla, l';358;1917;358;1914;2;2;75;420;19;19;347;1474;20;0;3;3
430141;Amposta;625;11076;618;10744;11;26;389;7527;58;114;408;3076;56;2;14;332
170084;Anglès;6;153;6;129;0;0;2;94;1;0;4;35;1;0;1;23
250273;Anglesola;141;2037;141;2037;1;0;129;1522;39;85;74;429;6;0;0;0
250292;Arbeca;383;4839;381;4812;3;2;321;2470;202;545;339;1795;27;1;6;27
430167;Arboç, l';64;682;64;682;0;0;14;39;30;49;61;595;5;0;0;0
430154;Arbolí;14;290;14;70;0;0;6;29;1;0;11;41;4;0;3;220
170097;Arbúcies;14;140;14;89;2;0;8;53;0;0;9;36;5;0;3;51
080060;Arenys de Mar;14;17;14;17;4;0;12;15;0;0;2;1;1;0;0;0
