CODI_ENS,NOM_COMPLERT,ORDRE,NOM_REGIDOR,CARREC,AREA,PARTIT,MUNICIPI_REPRESENTA,DATA_NOMENAMENT,E-MAIL,SEXE
9915975000,"FUNECAMP SERVEIS FUNERARIS MUNICIPALS, S.A.",0,Sandra Guaita Esteruelas,Presidenta,,,,,,D
9915845008,"Cicle de l'Aigua del Ter, SA",0,Marta Madrenas Mir,Presidenta,,,,11/11/2022,,D
9915628004,"Habitatge Metròpolis Barcelona, SA",0,Antonio Balmón Arévalo,President,,,,26/09/2023,,H
9915625007,"SERVEIS MEDIAMBIENTALS DE LA SELVA NORA, SA",0,SALVADOR BALLIU TORROELLA,President,,,,11/07/2019,,H
9915598006,"Aigües del Vendrell, SA",0,Kenneth Martínez Molina,President,,,,15/06/2019,,H
9915315002,"Gestió Integral d'Aigües de Catalunya, SA",0,Valentí Junyent Torras,President,,,,14/10/2015,,H
9915105005,"SUMAR, Serveis Públics d'Acció Social de Catalunya, MP, S.L.",0,Josep Maria Vidal Vidal,President,,,,13/09/2023,,H
9915035003,"Transports Metropolitans de Barcelona, SL",0,Enric Cañas Alonso,President,,,,,,H
9914905005,"Projectes i Serveis de Mobilitat, SA",0,Enric Cañas Alonso,President,,,,,,H
9914715002,"Marina de Badalona, SA",0,Xavier García Albiol,President,,,,,,H
9914655001,"Sagessa Assistència Sanitària i Social, SA",0,Òscar Subirats Torrebadell,President,,,,31/01/2020,,H
9914525007,"Tractament de Residus i d'Aigües Residuals del Sistema de Girona, SA",0,Marta Madrenas Mir,Presidenta,,,,,,D
9914495009,"Urgell Net, SA",0,Salvador Bonjoch Guim,President,,,,,,H
9914345008,"Tractament i Selecció de Residus, SA (TERSA)",0,Laia Bonet Rull,Presidenta,,,,29/12/2023,,D
9914288003,"Barcelona Regional, Agència de Desenvolupament Urbà, SA",0,Jaume Collboni Cuadrado,President,,PSC-CP,,17/06/2023,,H
9914138000,"Consorci de Salut i d'Atenció Social de Catalunya, SA",0,Manel Farré Montañés,President,,,,,,H
9914065004,"Figueres de Serveis, SA (FISERSA)",0,Jordi Masquef Creus,President,,,,17/06/2023,,H
9913898006,"Gestió Aigua Calella, SL",0,Montserrat Candini Puig,Presidenta,,,,11/06/2011,,D
9913548005,"Empresa Mixta d'Aigües d'Altafulla, SA",0,Fèlix Alonso Cantorné,President,,,,,,H
9912948005,"Creacció Agència d'Emprenedoria, Innovació i Coneixement, SL",0,Josep Arimany Manso,President,,,,,,H
9912758008,"COMAIGUA, SL",0,Eduard Pellicer Sabaté,President,,,,15/09/2015,,H
9912008002,"VIALNETVIC, SL",0,Antoni Serrat Callís,President,,,,,,H
9911778007,"Parc Audiovisual de Catalunya, SL",0,Amadeo Aguado Moreno,President,,,,18/12/2015,,H
9911588003,"Centre de Negocis i Convencions, SA",0,Àngel Ros Domingo,President,,,,,,H
9911458008,"Empresa Mixta Escorxador de Tortosa, SL",0,Joan Sanahuja Ramírez,President,,,,,,H
9911248005,"Aigües d'Osona, SA",0,Joan Roca Tió,President,,,,17/07/2015,,H
9911028004,"Depuradores d'Osona, SL",0,Joan Roca Tió,President,,,,17/07/2015,,H
9910858008,"Escola d'Esquí de la Vall de Boí, SL",0,Joan Perelada Ramon,President,,,,,,H
9910798006,"Turisme de la Seu, SA",0,Albert Batalla Siscart,President,,,,17/11/2015,,H
9910638000,"Empresa d'Aigües i Serveis de Cervera i la Segarra, SL",0,Josep Maria Rius Carulla,President,,,,,,H
9910508002,"Serveis Funeraris de Barcelona, SA",0,José Ignacio Cuervo Argudín,President,,,,,,H
9909718009,"Sociedad Municipal Mixta de Promoción y Gestión de Servicios de Esplugues, SA",0,Pilar Díaz Romero,Presidenta,,,,24/07/2015,,D
9908898006,"Fisersa Ecoserveis, SA",0,Joan Armangué Ribas,President,,,,,,H
9906838000,"Laboratori de Referència de Catalunya, SA",0,Manel Ferré Montañés,President,,,,08/05/2013,,H
9906198006,"Companyia d'Aigües de Sabadell, SA (CASSA)",0,Xavier Bigatà Ribé,President,,,,,,H
9903428004,"Servei d'Anàlisi de Sòls-Diputació de Lleida, SA",0,Josep Grau Serís,President,,,,,,H
9903378007,"Estació Duanera Lleidatana, SA",0,Àngel Ros Domingo,President,,,,13/06/2015,,H
9903218009,"Patronat de Turisme Costa Brava Girona, SA",0,Miquel Noguer i Planas,President,,,,27/07/2023,,H
