Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
250019;Abella de la Conca;2500190004;25;
080018;Abrera;0800180001;11;
250024;Àger;2500240003;23;
250030;Agramunt;2500300000;38;
080023;Aguilar de Segarra;0800230008;07;
170010;Agullana;1700100000;02;
080142;Aiguafreda;0801420002;41;
430017;Aiguamúrcia;4300170005;01;
170025;Aiguaviva;1700250006;20;
250387;Aitona;2503870005;33;
250045;Alamús, els;2500450006;33;
250058;Alàs i Cerc;2500580001;04;
250061;Albagés, l';2500610007;18;
170031;Albanyà;1700310007;02;
250077;Albatàrrec;2500770005;33;
250083;Albesa;2500830008;23;
250096;Albi, l';2500960009;18;
430022;Albinyana;4300220002;12;
430038;Albiol, l';4300380001;08;
170046;Albons;1700460009;10;
430043;Alcanar;4300430008;22;
250100;Alcanó;2501000000;33;
250117;Alcarràs;2501170005;33;
250122;Alcoletge;2501220002;33;
430056;Alcover;4300560009;01;
439044;Aldea, l';4390440003;09;
430069;Aldover;4300690004;09;
430075;Aleixar, l';4300750006;08;
080039;Alella;0800390004;21;
430081;Alfara de Carles;4300810007;09;
250138;Alfarràs;2501380001;33;
250143;Alfés;2501430008;33;
430094;Alforja;4300940003;08;
250156;Algerri;2501560009;23;
250169;Alguaire;2501690004;33;
250175;Alins;2501750006;26;
430108;Alió;4301080001;01;
250194;Almacelles;2501940003;33;
250208;Almatret;2502080001;33;
250215;Almenar;2502150006;33;
430115;Almoster;4301150006;08;
250220;Alòs de Balaguer;2502200000;23;
170062;Alp;1700620002;15;
080044;Alpens;0800440003;43;
250236;Alpicat;2502360009;33;
250241;Alt Àneu;2502410007;26;
430120;Altafulla;4301200000;36;
170078;Amer;1700780001;34;
430136;Ametlla de Mar, l';4301360009;09;
080057;Ametlla del Vallès, l';0800570005;41;
439060;Ampolla, l';4390600000;09;
430141;Amposta;4301410007;22;
170084;Anglès;1700840003;34;
250273;Anglesola;2502730008;38;
250292;Arbeca;2502920002;18;
430167;Arboç, l';4301670005;12;
430154;Arbolí;4301540003;08;
170097;Arbúcies;1700970005;34;
080060;Arenys de Mar;0800600000;21;
080076;Arenys de Munt;0800760009;21;
170101;Argelaguer;1701010007;19;
080082;Argençola;0800820002;06;
430173;Argentera, l';4301730008;08;
080095;Argentona;0800950006;21;
170118;Armentera, l';1701180001;02;
430189;Arnes;4301890004;37;
250313;Arres;2503130008;39;
