ANY,PROVINCIA,COMARCA,CDMUN,MUNICIPI,SECTOR,CONSUM [kWh PCS],OBSERVACIONS
2023,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,SERVEIS,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,DOMÈSTIC,13202801,
2023,BARCELONA,BAIX LLOBREGAT,08001,ABRERA,INDUSTRIAL,12695603,
2023,BARCELONA,MARESME,08003,ALELLA,DOMÈSTIC,22684546,
2023,BARCELONA,MARESME,08003,ALELLA,SERVEIS,3453132,
2023,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",SERVEIS,1702158,
2023,BARCELONA,VALLES ORIENTAL,08005,"AMETLLA DEL VALLES, L'",DOMÈSTIC,9610839,
2023,BARCELONA,MARESME,08006,ARENYS DE MAR,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,MARESME,08006,ARENYS DE MAR,DOMÈSTIC,22403992,
2023,BARCELONA,MARESME,08006,ARENYS DE MAR,SERVEIS,6468620,
2023,BARCELONA,MARESME,08007,ARENYS DE MUNT,DOMÈSTIC,11750469,
2023,BARCELONA,MARESME,08007,ARENYS DE MUNT,SERVEIS,4287812,
2023,BARCELONA,MARESME,08007,ARENYS DE MUNT,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,MARESME,08009,ARGENTONA,SERVEIS,2102682,
2023,BARCELONA,MARESME,08009,ARGENTONA,DOMÈSTIC,17928400,
2023,BARCELONA,MARESME,08009,ARGENTONA,INDUSTRIAL,19746604,
2023,BARCELONA,BAGES,08010,ARTES,INDUSTRIAL,15312451,
2023,BARCELONA,BAGES,08010,ARTES,DOMÈSTIC,6687684,
2023,BARCELONA,BAGES,08010,ARTES,SERVEIS,1492672,
2023,BARCELONA,BERGUEDA,08011,AVIA,DOMÈSTIC,2293753,
2023,BARCELONA,BERGUEDA,08011,AVIA,SERVEIS,574154,
2023,BARCELONA,ALT PENEDES,08013,AVINYONET DEL PENEDES,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,SERVEIS,1047407,
2023,BARCELONA,VALLES ORIENTAL,08014,AIGUAFREDA,DOMÈSTIC,6059133,
2023,BARCELONA,BARCELONES,08015,BADALONA,SERVEIS,53716469,Inclou el consum del sector transport.
2023,BARCELONA,BARCELONES,08015,BADALONA,INDUSTRIAL,18690985,
2023,BARCELONA,BARCELONES,08015,BADALONA,DOMÈSTIC,184821532,
2023,BARCELONA,BERGUEDA,08016,BAGA,DOMÈSTIC,2266654,
2023,BARCELONA,BERGUEDA,08016,BAGA,SERVEIS,293846,
2023,BARCELONA,OSONA,08017,BALENYA,DOMÈSTIC,6207069,
2023,BARCELONA,OSONA,08017,BALENYA,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,OSONA,08017,BALENYA,SERVEIS,2857837,
2023,BARCELONA,BAGES,08018,BALSARENY,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAGES,08018,BALSARENY,SERVEIS,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAGES,08018,BALSARENY,DOMÈSTIC,5641900,
2023,BARCELONA,BARCELONES,08019,BARCELONA,CT RO,,Dades subjectes a secret estadístic. Inclou el consum de centrals tèrmiques de l'antic règim ordinari.
2023,BARCELONA,BARCELONES,08019,BARCELONA,SERVEIS,1294714869,Inclou el consum del sector transport.
2023,BARCELONA,BARCELONES,08019,BARCELONA,INDUSTRIAL,915061722,
2023,BARCELONA,BARCELONES,08019,BARCELONA,DOMÈSTIC,1809951156,
2023,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,SERVEIS,816762,
2023,BARCELONA,BAIX LLOBREGAT,08020,BEGUES,DOMÈSTIC,6932159,
2023,BARCELONA,BERGUEDA,08022,BERGA,SERVEIS,7112167,
2023,BARCELONA,BERGUEDA,08022,BERGA,DOMÈSTIC,28858842,
2023,BARCELONA,BERGUEDA,08022,BERGA,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,VALLES ORIENTAL,08023,BIGUES I RIELLS DEL FAI,DOMÈSTIC,311388,
2023,BARCELONA,ANOIA,08028,CABRERA D'ANOIA,DOMÈSTIC,571645,
2023,BARCELONA,MARESME,08029,CABRERA DE MAR,SERVEIS,9280874,
2023,BARCELONA,MARESME,08029,CABRERA DE MAR,DOMÈSTIC,9038839,
2023,BARCELONA,MARESME,08029,CABRERA DE MAR,INDUSTRIAL,25606163,
2023,BARCELONA,MARESME,08030,CABRILS,SERVEIS,2064170,
2023,BARCELONA,MARESME,08030,CABRILS,DOMÈSTIC,19957922,
2023,BARCELONA,ANOIA,08031,CALAF,DOMÈSTIC,5977067,
2023,BARCELONA,ANOIA,08031,CALAF,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,ANOIA,08031,CALAF,SERVEIS,1513726,
2023,BARCELONA,MARESME,08032,CALDES D'ESTRAC,DOMÈSTIC,5775471,
2023,BARCELONA,MARESME,08032,CALDES D'ESTRAC,SERVEIS,614693,
2023,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,SERVEIS,4312816,
2023,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,INDUSTRIAL,11671586,
2023,BARCELONA,VALLES ORIENTAL,08033,CALDES DE MONTBUI,DOMÈSTIC,17917844,
2023,BARCELONA,MARESME,08035,CALELLA,SERVEIS,20446183,
2023,BARCELONA,MARESME,08035,CALELLA,DOMÈSTIC,19066041,
2023,BARCELONA,ANOIA,08036,CALONGE DE SEGARRA,SERVEIS,,Dades subjectes a secret estadístic.
2023,BARCELONA,OSONA,08037,CALLDETENES,SERVEIS,933276,
2023,BARCELONA,OSONA,08037,CALLDETENES,DOMÈSTIC,3991163,
2023,BARCELONA,BAGES,08038,CALLUS,DOMÈSTIC,2894247,
2023,BARCELONA,BAGES,08038,CALLUS,SERVEIS,534830,
2023,BARCELONA,MARESME,08040,CANET DE MAR,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,MARESME,08040,CANET DE MAR,DOMÈSTIC,17524530,
2023,BARCELONA,MARESME,08040,CANET DE MAR,SERVEIS,3676901,
2023,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,DOMÈSTIC,16410779,
2023,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,SERVEIS,3323946,
2023,BARCELONA,VALLES ORIENTAL,08041,CANOVELLES,INDUSTRIAL,24079821,
2023,BARCELONA,ANOIA,08044,CAPELLADES,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,ANOIA,08044,CAPELLADES,SERVEIS,1253702,
2023,BARCELONA,ANOIA,08044,CAPELLADES,DOMÈSTIC,9146790,
2023,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,SERVEIS,3178335,
2023,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,INDUSTRIAL,8738272,
2023,BARCELONA,VALLES ORIENTAL,08046,CARDEDEU,DOMÈSTIC,26430211,
2023,BARCELONA,BAGES,08047,CARDONA,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAGES,08047,CARDONA,DOMÈSTIC,4522195,
2023,BARCELONA,BAGES,08047,CARDONA,SERVEIS,514993,
2023,BARCELONA,BERGUEDA,08049,CASSERRES,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,SERVEIS,6233631,
2023,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,VALLES OCCIDENTAL,08051,CASTELLAR DEL VALLES,DOMÈSTIC,37892038,
2023,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,DOMÈSTIC,3455849,
2023,BARCELONA,BAGES,08053,CASTELLBELL I EL VILAR,SERVEIS,642301,
2023,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,INDUSTRIAL,1247964764,
2023,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,DOMÈSTIC,15215903,
2023,BARCELONA,VALLES OCCIDENTAL,08054,CASTELLBISBAL,SERVEIS,8712959,
2023,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,DOMÈSTIC,76989356,
2023,BARCELONA,BAIX LLOBREGAT,08056,CASTELLDEFELS,SERVEIS,32332883,Inclou el consum del sector transport.
2023,BARCELONA,ALT PENEDES,08058,CASTELLET I LA GORNAL,SERVEIS,,Dades subjectes a secret estadístic.
2023,BARCELONA,ALT PENEDES,08058,CASTELLET I LA GORNAL,INDUSTRIAL,70758816,
2023,BARCELONA,ALT PENEDES,08058,CASTELLET I LA GORNAL,DOMÈSTIC,1327843,
2023,BARCELONA,BAGES,08061,CASTELLGALI,DOMÈSTIC,1671635,
2023,BARCELONA,BAGES,08061,CASTELLGALI,SERVEIS,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAGES,08061,CASTELLGALI,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,MOIANES,08064,CASTELLTERÇOL,SERVEIS,589340,
2023,BARCELONA,MOIANES,08064,CASTELLTERÇOL,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,MOIANES,08064,CASTELLTERÇOL,DOMÈSTIC,3901774,
2023,BARCELONA,BAIX LLOBREGAT,08066,CASTELLVI DE ROSANES,DOMÈSTIC,618493,
2023,BARCELONA,OSONA,08067,CENTELLES,SERVEIS,5098827,
2023,BARCELONA,OSONA,08067,CENTELLES,DOMÈSTIC,13540197,
2023,BARCELONA,OSONA,08067,CENTELLES,INDUSTRIAL,18046030,
2023,BARCELONA,BAIX LLOBREGAT,08068,CERVELLO,DOMÈSTIC,12203151,
2023,BARCELONA,BAIX LLOBREGAT,08068,CERVELLO,SERVEIS,2214287,
2023,BARCELONA,BAIX LLOBREGAT,08068,CERVELLO,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAIX LLOBREGAT,08069,COLLBATO,DOMÈSTIC,6720275,
2023,BARCELONA,BAIX LLOBREGAT,08069,COLLBATO,SERVEIS,1240789,
2023,BARCELONA,BAIX LLOBREGAT,08072,CORBERA DE LLOBREGAT,SERVEIS,1752016,
2023,BARCELONA,BAIX LLOBREGAT,08072,CORBERA DE LLOBREGAT,INDUSTRIAL,,Dades subjectes a secret estadístic.
2023,BARCELONA,BAIX LLOBREGAT,08072,CORBERA DE LLOBREGAT,DOMÈSTIC,12754588,
2023,BARCELONA,BAIX LLOBREGAT,08073,CORNELLA DE LLOBREGAT,SERVEIS,48932890,Inclou el consum del sector transport.
2023,BARCELONA,BAIX LLOBREGAT,08073,CORNELLA DE LLOBREGAT,DOMÈSTIC,69857850,
