Número RAC,Número CAU,Secció registre,Subsecció registre,Data d'inscripció,Data de posada en servei,Potència,Tecnologia,Codi IDESCAT municipi,Municipi,Codi INE comarca,Comarca
14004646,ES0011300004837006AM0FA000,Amb excedents,a0,18/08/2020,18/08/2020,5.28000020980835,FOTOVOLTAICA,080235,Bigues i Riells,41,Vallès Oriental
14083080,ES0021000002587559BX1FA000,Amb excedents,a0,13/06/2023,13/06/2023,8,FOTOVOLTAICA,430252,Benifallet,09,Baix Ebre
14090100,ES0021000002901568WT0FA000,Amb excedents,a0,16/08/2023,16/08/2023,5,FOTOVOLTAICA,430445,"Sénia, la",22,Montsià
14109222,ES0021000004162314PR0FA000,Amb excedents,a0,07/05/2024,07/05/2024,3,FOTOVOLTAICA,080109,Artés,07,Bages
14074077,ES0021000004381076CX0FA000,Amb excedents,a0,03/04/2023,03/04/2023,5,FOTOVOLTAICA,080898,Gavà,11,Baix Llobregat
16005516,ES0021000005313247TZ0FA000,Amb excedents,a0,26/11/2023,26/11/2023,10,FOTOVOLTAICA,431482,Tarragona,36,Tarragonès
14077871,ES0021000005342621NV0FA000,Amb excedents,a0,06/05/2023,06/05/2023,6,FOTOVOLTAICA,081017,"Hospitalet de Llobregat, l'",13,Barcelonès
14071051,ES0021000006092674DV0FA000,Amb excedents,a0,13/03/2023,13/03/2023,3,FOTOVOLTAICA,082917,Vacarisses,40,Vallès Occidental
14077537,ES0021000007853672FC1FA000,Amb excedents,a0,02/05/2023,02/05/2023,10,FOTOVOLTAICA,080569,Castelldefels,11,Baix Llobregat
12000371,ES0021000010074130HN0FA000,Sense excedents,,27/04/2023,27/04/2023,2,FOTOVOLTAICA,431331,Roquetes,09,Baix Ebre
14077870,ES0021000010615990WS0FA000,Amb excedents,a0,06/05/2023,06/05/2023,3,FOTOVOLTAICA,080569,Castelldefels,11,Baix Llobregat
14054689,ES0021000010913208EG1FA000,Amb excedents,a0,14/12/2022,14/12/2022,3,FOTOVOLTAICA,082824,Tiana,21,Maresme
14054064,ES0021000012144236RA0FA000,Amb excedents,a0,22/11/2022,22/11/2022,3,FOTOVOLTAICA,083073,Vilanova i la Geltrú,17,Garraf
14054121,ES0021000015879235ND1PA000,Amb excedents,a0,21/11/2022,21/11/2022,5,FOTOVOLTAICA,081252,Montcada i Reixac,40,Vallès Occidental
14030344,ES0021408644661001EB0FA000,Amb excedents,a0,24/05/2022,24/05/2022,2.88000011444092,FOTOVOLTAICA,082981,Vic,24,Osona
10000448,ES0022000009138374AR1PA000,Sense excedents,,27/01/2021,27/01/2021,60,FOTOVOLTAICA,080193,Barcelona,13,Barcelonès
10000694,ES0022000009138436MV1PA000,Sense excedents,,23/11/2021,23/11/2021,12,FOTOVOLTAICA,081691,"Prat de Llobregat, el",11,Baix Llobregat
10000712,ES0022000009138689QV1PA000,Sense excedents,,29/11/2021,29/11/2021,100,FOTOVOLTAICA,081691,"Prat de Llobregat, el",11,Baix Llobregat
10000302,ES00220009138375AW1P0FA000,Sense excedents,,09/07/2020,09/07/2020,100,FOTOVOLTAICA,081691,"Prat de Llobregat, el",11,Baix Llobregat
14048715,ES0022408336421001SPOFA000,Amb excedents,b1,05/11/2022,05/11/2022,5.46000003814697,FOTOVOLTAICA,080538,Castellbell i el Vilar,07,Bages
14013885,ES0031101765933001EG0FA000,Amb excedents,a0,24/08/2021,24/08/2021,3,FOTOVOLTAICA,171100,Mont-ras,10,Baix Empordà
14101859,ES0031103529842005NT0FA000,Amb excedents,a0,20/01/2024,20/01/2024,3.90000009536743,FOTOVOLTAICA,082704,Sitges,17,Garraf
