Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
250019;Abella de la Conca;5,9;3,9;9,8
080018;Abrera;177,5;280,6;458,1
250024;Àger;7,2;6,7;13,8
250030;Agramunt;61,9;113,6;175,5
080023;Aguilar de Segarra;4,3;5,3;9,6
170010;Agullana;9,8;15,2;24,9
080142;Aiguafreda;49,3;62,2;111,5
430017;Aiguamúrcia;23,8;26,8;50,5
170025;Aiguaviva;8,3;8,3;16,5
250387;Aitona;20,2;36,7;56,8
250045;Alamús, els;6,3;13,2;19,4
250058;Alàs i Cerc;3,3;3,3;6,5
250061;Albagés, l';4,0;7,5;11,5
170031;Albanyà;0,8;4,3;5,0
250077;Albatàrrec;23,7;33,8;57,5
250083;Albesa;12,4;21,0;33,4
250096;Albi, l';10,5;11,1;21,6
430022;Albinyana;69,4;96,2;165,6
430038;Albiol, l';6,0;5,4;11,4
170046;Albons;8,0;10,0;18,0
430043;Alcanar;170,2;219,4;389,6
250100;Alcanó;1,4;3,2;4,6
250117;Alcarràs;140,5;188,1;328,6
250122;Alcoletge;57,1;69,4;126,5
430056;Alcover;108,9;129,0;237,9
439044;Aldea, l';77,2;103,1;180,3
430069;Aldover;15,4;21,7;37,1
430075;Aleixar, l';15,2;23,4;38,6
080039;Alella;105,3;120,6;225,8
430081;Alfara de Carles;8,4;7,5;15,9
250138;Alfarràs;112,0;121,9;233,9
250143;Alfés;3,3;3,7;7,0
430094;Alforja;38,9;46,2;85,1
250156;Algerri;8,3;8,2;16,4
250169;Alguaire;39,8;50,3;90,1
250175;Alins;1,3;0,5;1,8
430108;Alió;5,3;13,3;18,5
250194;Almacelles;69,1;104,6;173,7
250208;Almatret;1,3;1,2;2,5
250215;Almenar;58,6;55,5;114,1
430115;Almoster;14,3;20,3;34,6
250220;Alòs de Balaguer;0,7;1,3;1,9
170062;Alp;14,5;20,6;35,1
080044;Alpens;1,3;8,0;9,3
250236;Alpicat;46,5;77,3;123,8
250241;Alt Àneu;2,1;3,0;5,1
430120;Altafulla;69,6;109,8;179,4
170078;Amer;34,3;45,1;79,3
430136;Ametlla de Mar, l';105,3;163,7;269,0
080057;Ametlla del Vallès, l';119,2;170,7;289,8
439060;Ampolla, l';57,4;79,5;136,9
