Afiliacions al Règim general de la Seguretat Social i al Règim especial de la mineria del carbó. Per sector d'activitat econòmica. A últim dia del mes
Municipis. Desembre del 2024 (p)
Unitats: Afiliacions.
Font: Idescat, a partir dels fitxers d'afiliacions i comptes de cotització de la Tresoreria General de la Seguretat Social.
Notes:
 Els resultats estan arrodonits a valors múltiples de 5. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació.
 Les afiliacions al Règim general de la Seguretat Social i especial de la mineria del carbó es classifiquen segons la ubicació del compte de cotització.
(p) Dada provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=afic&n=14983&geo=mun&t=202412:p
Codi;Nom;Agricultura;Indústria;Construcció;Serveis;Total
250019;Abella de la Conca;15;0;0;20;35
080018;Abrera;5;2555;345;3645;6545
250024;Àger;10;10;5;80;105
250030;Agramunt;105;875;75;675;1735
080023;Aguilar de Segarra;10;0;5;15;25
170010;Agullana;0;25;20;50;95
080142;Aiguafreda;0;225;25;230;480
430017;Aiguamúrcia;5;20;15;140;180
170025;Aiguaviva;30;735;215;750;1730
250387;Aitona;30;10;15;240;295
250045;Alamús, els;70;45;10;150;275
250058;Alàs i Cerc;5;0;5;10;15
250061;Albagés, l';5;15;5;15;40
170031;Albanyà;0;5;5;35;35
250077;Albatàrrec;5;5;45;215;265
250083;Albesa;5;15;30;80;125
250096;Albi, l';10;40;5;40;90
430022;Albinyana;0;10;50;105;165
430038;Albiol, l';0;5;0;5;5
170046;Albons;0;0;10;40;50
430043;Alcanar;5;335;80;1035;1455
250100;Alcanó;5;0;0;10;10
250117;Alcarràs;240;320;180;1905;2645
250122;Alcoletge;45;335;170;465;1010
430056;Alcover;5;615;65;490;1170
439044;Aldea, l';45;410;175;645;1275
430069;Aldover;0;20;25;35;80
430075;Aleixar, l';0;0;10;30;45
080039;Alella;0;60;105;1505;1675
430081;Alfara de Carles;0;10;0;10;20
250138;Alfarràs;15;20;245;210;490
250143;Alfés;5;0;0;75;80
430094;Alforja;0;65;20;110;195
250156;Algerri;25;10;65;60;155
250169;Alguaire;20;225;750;225;1220
250175;Alins;5;0;5;10;15
430108;Alió;5;185;10;40;240
250194;Almacelles;195;420;220;1270;2100
250208;Almatret;5;10;0;10;25
250215;Almenar;35;95;35;295;465
430115;Almoster;0;5;15;50;70
250220;Alòs de Balaguer;25;0;10;5;40
170062;Alp;5;5;50;1130;1185
080044;Alpens;0;5;5;10;20
250236;Alpicat;15;210;80;590;890
250241;Alt Àneu;5;0;25;35;60
430120;Altafulla;10;20;65;620;715
170078;Amer;0;1335;40;655;2025
430136;Ametlla de Mar, l';5;70;160;865;1100
080057;Ametlla del Vallès, l';15;775;260;1560;2605
439060;Ampolla, l';5;30;35;395;465
430141;Amposta;180;1835;495;5010;7515
170084;Anglès;10;580;225;315;1135
250273;Anglesola;5;270;65;255;595
250292;Arbeca;45;65;60;120;290
430167;Arboç, l';0;1230;35;1015;2275
430154;Arbolí;5;0;0;10;10
170097;Arbúcies;20;680;150;875;1725
080060;Arenys de Mar;5;430;165;2090;2685
080076;Arenys de Munt;5;525;200;735;1465
170101;Argelaguer;5;235;60;150;445
080082;Argençola;0;5;0;5;5
430173;Argentera, l';0;0;0;5;5
080095;Argentona;5;1955;270;1440;3675
170118;Armentera, l';5;5;20;50;80
430189;Arnes;5;5;10;40;55
250313;Arres;0;0;0;10;10
250328;Arsèguel;0;0;0;5;5
080109;Artés;15;770;45;685;1515
250334;Artesa de Lleida;15;85;35;85;220
250349;Artesa de Segre;140;400;40;290;870
430192;Ascó;0;40;10;265;310
250365;Aspa;5;5;0;30;35
