"ine","Ficha","Municipio","Provincia","Comarca","Total","ODS","name","value"
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods01","ods01.rdfb.hab",19389
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods01","ods01.PobrSev",4.1
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods01","ods01.Gasto_23perHab",100.58
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods2","ods2.propEco",81.9
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods2","ods2.propSau",10.3
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods3","ods3.MortGen",6.8
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods3","ods3.EV",84.0297658513224
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods4","ods4.tasaSup",18.9
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods4","ods4.Gasto_32perHab",138.29
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods5","ods5.percAtFem",61.2530015280506
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods5","ods5.indexParitat",94
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods5","ods5.percDif",-31
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods6","ods6.consHab",109
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods6","ods6.total_m3",1.396
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods6","ods6.vuln",0
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods7","ods7.gas.hab.dia",2.82
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods7","ods7.propFG",30.3
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods7","ods7.tasa.Ins",3.69
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods8","ods8.tasaParo",5.3
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods8","ods8.tasPib",10.7454696097385
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods9","ods9.percInd",39
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods9","ods9.taxEmpInd",8.4
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods10","ods10.pobr",10.1
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods10","ods10.gini",24.6
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods10","ods10.dep",49.6
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods11","ods11.indAcc",19.5
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods11","ods11.InMot1000",703.412680070873
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods11","ods11.supVerd_hab",30.40935615
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods11","ods11.pct_inun",0.99
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods12","ods12.select.kg_hab",144.68
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods12","ods12.fr_selectiva",31.7
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods13","ods13.Gasto_17perHab",78.22
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods13","ods13.Participa",1
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods15","ods15.tasaBosque",14.4
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods15","ods15.snuPerc",66.9
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods16","ods16.tasaCrimConv",NA
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods16","ods16.percVotants",54.84
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods16","ods16.deut.hab",0
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods17","ods17.coopIngr",0.02
"08001","08001-abrera","Abrera","Barcelona","Baix Llobregat",12981,"ods17","ods17.coopHab",0.1
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods01","ods01.rdfb.hab",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods01","ods01.PobrSev",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods01","ods01.Gasto_23perHab",193.3
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods2","ods2.propEco",7.2
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods2","ods2.propSau",27.6
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods3","ods3.MortGen",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods3","ods3.EV",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods4","ods4.tasaSup",36.5
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods4","ods4.Gasto_32perHab",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods5","ods5.percAtFem",55.2083333333333
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods5","ods5.indexParitat",0
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods5","ods5.percDif",-28
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods6","ods6.consHab",110.6
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods6","ods6.total_m3",2.754
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods6","ods6.vuln",0
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods7","ods7.gas.hab.dia",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods7","ods7.propFG",30
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods7","ods7.tasa.Ins",6.53
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods8","ods8.tasaParo",5.2
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods8","ods8.tasPib",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods9","ods9.percInd",0
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods9","ods9.taxEmpInd",0
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods10","ods10.pobr",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods10","ods10.gini",27.3
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods10","ods10.dep",57.3
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods11","ods11.indAcc",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods11","ods11.InMot1000",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods11","ods11.supVerd_hab",12.72601737
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods11","ods11.pct_inun",0
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods12","ods12.select.kg_hab",313.55
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods12","ods12.fr_selectiva",82.09
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods13","ods13.Gasto_17perHab",85.85
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods13","ods13.Participa",1
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods15","ods15.tasaBosque",35.1
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods15","ods15.snuPerc",99.7
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods16","ods16.tasaCrimConv",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods16","ods16.percVotants",64.32
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods16","ods16.deut.hab",0
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods17","ods17.coopIngr",NA
"08002","08002-aguilar-de-segarra","Aguilar de Segarra","Barcelona","Bages",291,"ods17","ods17.coopHab",NA
