"ine","Municipio","Població","Provincia","Comarca","any","n_habitatges","rendaHabM","cat_pobl","renda_famNeta","pes_llog"
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2007,34,596,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2008,23,638,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2009,72,626,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2010,129,641,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2011,226,526,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2012,255,492,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2013,205,522,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2014,176,537,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2015,165,558,"10.000-50.000",33990,19.7
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2016,175,604,"10.000-50.000",35621,20.35
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2017,157,614,"10.000-50.000",36568,20.15
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2018,165,687,"10.000-50.000",37966,21.71
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2019,458,658,"10.000-50.000",39439,20.02
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2020,433,696,"10.000-50.000",39531,21.13
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2021,486,661,"10.000-50.000",41104,19.3
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2022,777,690,"10.000-50.000",42573,19.45
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2023,708,661,"10.000-50.000",NA,NA
"08001","Abrera",12981,"Barcelona","Baix Llobregat",2024,515,755,"10.000-50.000",NA,NA
"08003","Alella",10200,"Barcelona","Maresme",2007,52,724,"10.000-50.000",NA,NA
"08003","Alella",10200,"Barcelona","Maresme",2008,57,1062,"10.000-50.000",NA,NA
"08003","Alella",10200,"Barcelona","Maresme",2009,74,893,"10.000-50.000",NA,NA
